,Unnamed: 0,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,0,4,132,Yelich, Christian,592885,2022,23.8,13.0,8.8,6.7,26.2,13.4,40.9,4.0,28.2,,MIL,592885.0,LF,1.0382900852761408
1,1,10,282,Adames, Willy,642715,2022,26.9,8.4,13.7,6.8,19.1,31.7,24.2,4.4,27.8,,MIL,642715.0,SS,1.0235625663360537
2,2,1,14,McCutchen, Andrew,457705,2022,19.1,8.7,8.0,5.3,24.6,26.3,33.1,2.4,28.9,,MIL,457705.0,DH,1.064063243421293
3,3,9,273,Tellez, Rowdy,642133,2022,20.0,10.5,13.8,7.5,22.3,25.7,27.6,2.5,24.0,,MIL,642133.0,1B,0.8836511364052262
4,4,11,303,Urias, Luis,649966,2022,22.0,11.4,8.0,5.2,23.2,33.2,24.8,5.6,26.3,,MIL,649966.0,SS,0.9683343703107271
5,5,2,75,Wong, Kolten,543939,2022,17.7,8.6,4.0,5.9,22.1,26.5,34.9,6.3,25.8,,MIL,543939.0,2B,0.9499249716356182
6,6,7,210,Taylor, Tyrone,621438,2022,26.1,5.2,9.1,6.8,21.0,29.7,27.4,5.5,28.4,,MIL,621438.0,CF,1.0456538447461843
7,7,5,167,Caratini, Victor,605170,2022,21.9,10.7,7.7,4.5,27.7,20.6,36.1,3.2,25.0,,MIL,605170.0,C,0.920469933755444
8,8,0,129,Renfroe,Hunter,592669,2022,24.3,7.5,12.4,6.4,21.9,27.1,28.7,3.6,27.3,,MIL,456715.0,RF,1.0515319650111625
