,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,10,290,Kemp, Tony,643393,2022,13.7,8.5,1.5,3.9,22.8,32.3,31.1,8.1,26.1,,OAK,643393.0,2B,0.9609706108406836
1,11,334,Laureano, Ramon,657656,2022,25.9,7.3,11.8,4.1,22.3,26.8,30.0,5.0,27.5,,OAK,657656.0,OF,1.0125169271309884
2,14,433,Murphy, Sean,669221,2022,20.2,9.0,11.2,5.8,23.1,24.0,32.2,3.6,26.1,,OAK,669221.0,C,0.9609706108406836
3,12,393,Brown, Seth,664913,2022,25.4,8.1,11.5,5.8,23.0,30.6,25.2,3.6,27.9,,OAK,664913.0,OF,1.0272444460710755
4,6,248,Pinder, Chad,640461,2022,30.4,3.4,6.7,7.6,25.2,19.0,34.3,5.7,25.9,,OAK,640461.0,OF,0.9536068513706398
5,8,270,Neuse, Sheldon,641914,2022,26.6,6.6,3.4,2.8,28.5,13.4,48.6,1.7,26.3,,OAK,641914.0,2B,0.9683343703107271
6,17,494,Bride, Jonah,681146,2022,15.3,8.8,2.0,11.0,17.0,28.0,35.0,7.0,26.9,,OAK,681146.0,3B,0.9904256487208576
7,13,400,Pache, Cristian,665506,2022,26.2,5.1,4.1,3.4,25.2,16.3,44.2,6.1,28.5,,OAK,665506.0,OF,1.049335724481206
8,15,445,Allen, Nick,669397,2022,18.9,6.6,1.3,3.8,21.7,22.3,42.7,8.3,27.7,,OAK,669397.0,2B,1.019880686601032
