,level_0,index,last_name, first_name,player_id,year,b_k_percent,b_bb_percent,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,sprint_speed,Unnamed: 13,TEAM,MLBID,POS,delta_ss
0,9,309,Diaz, Yandy,650490,2022,10.4,14.1,4.3,8.3,26.1,20.9,37.0,2.0,27.0,,TB,650490.0,3B,0.9941075284558795
1,12,378,Lowe, Brandon,664040,2022,22.7,10.0,10.8,4.2,21.1,28.9,29.5,5.4,27.5,,TB,664040.0,2B,1.0125169271309884
2,14,421,Arozarena, Randy,668227,2022,24.4,7.7,7.5,4.8,19.7,22.4,43.0,2.4,28.7,,TB,668227.0,OF,1.0566994839512496
3,18,479,Franco, Wander,677551,2022,10.5,6.9,4.4,4.9,30.9,20.6,35.3,3.9,27.9,,TB,677551.0,SS,1.0272444460710755
4,16,455,Paredes, Isaac,670623,2022,16.8,9.1,6.7,6.2,21.0,29.5,31.9,4.3,26.3,,TB,670623.0,2B,0.9683343703107271
5,8,278,Siri, Jose,642350,2022,35.7,5.8,6.3,6.3,26.6,28.9,27.3,4.7,30.3,,TB,642350.0,OF,1.115609559711598
6,7,277,Mejia, Francisco,642336,2022,23.4,2.1,3.4,5.2,30.5,28.7,29.9,2.3,26.8,,TB,642336.0,C,0.9867437689858359
7,4,156,Choi, Ji-Man,596847,2022,29.9,13.8,9.7,8.7,27.0,15.8,36.2,2.6,24.8,,TB,596847.0,1B,0.9131061742854004
8,6,231,Ramirez, Harold,623912,2022,14.5,5.1,5.3,6.1,26.1,17.1,39.2,5.7,28.2,,TB,623912.0,OF,1.0382900852761408
